id,"id curso","nombre del curso","fecha inicio","fecha fin","inicio de inscripcion","fin de inscripcion"
72,IIIDx/IIIDFe101x/2016_S2,"Felicidad estudios avanzados",2016-08-08,2016-10-03,2016-05-09,2016-05-14
73,,"La línea, 3200 kms de frontera",2016-08-15,2016-09-20,2016-05-14,2016-05-19
74,,"Aprendizaje estratégico en ambientes virtuales",2016-08-15,2016-09-30,2016-05-15,2016-05-20
75,,"Geobiología ",2016-08-15,2016-09-28,2016-05-16,2016-05-21
76,,"Cálculo Diferencial",2016-09-01,2016-11-30,2016-06-01,2016-06-06
77,Microsoft/MSW01/2016_S2,"Edición de documentos para el aula de clases con Microsoft Word",2016-10-03,2016-10-30,2016-06-01,2016-06-06
85,,"Resiliencia Nómica",2016-08-22,2016-11-30,2016-06-08,2016-06-13
86,,"Prevención de accidentes en casa",2016-09-04,2016-09-30,2016-07-01,2016-07-06
87,Microsoft/MSPP01/2016_S2,"Productividad y creatividad en el aula con Microsoft Power Point",2016-10-03,2016-10-30,2016-07-01,2016-07-06
88,,"Como desarrollar una mentalidad innovadora ",2016-09-04,2016-09-30,2016-07-01,2016-07-06
89,,"Ciberacoso o Ciberbullying ",2016-08-29,2016-09-28,2016-07-03,2016-07-08
90,,"Curso básico para asesor Jurídico de victima",2016-08-22,2016-09-21,2016-07-18,2016-07-23
91,,"Curso básico para especialistas de Métodos alternos de solución de controversias ",2016-08-22,2016-09-21,2016-07-18,2016-07-23
92,,"Curso básico para Peritos",2016-08-22,2016-09-21,2016-07-18,2016-07-23
93,,"Curso básico para Agentes del Ministerio Público ",2016-08-22,2016-09-21,2016-07-18,2016-07-23
94,,"Curso básico para defensores",2016-08-22,2016-09-21,2016-07-18,2016-07-23
95,,"Curso básico para personal del Sistema Penitenciario",2016-08-22,2016-09-21,2016-07-18,2016-07-23
96,,"Módulos iniciales para el sistema de Justicia Penal Acusatorio(cerrado)",2016-08-22,2016-09-21,2016-07-18,2016-07-23
97,,"Curso básico para jueces",2016-08-10,2016-09-21,2016-07-18,2016-07-23
98,,"Curso básico para asesor Jurídico de victima",2016-08-22,2016-09-21,2016-07-18,2016-07-23
99,,"Diseño y creación de recursos de aprendizaje con Microsoft Excel ",2016-10-31,2016-11-27,2016-08-01,2016-08-06
102,course-v1:TecdeMonterrey+innorea01x+2016,"Innovación en la creación de recursos abiertos para la educación",2016-09-05,2016-10-10,2016-08-05,2016-09-10
